NAME,ADDRESS,CITY,STATE,ZIP,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE
NORTHWEST MISSISSIPPI COMMUNITY COLLEGE,4975 HWY 51 N,SENATOBIA,MS,38668,8443,TATE,28137,USA,34.62424815,-89.96927687
METROPOLITAN COMMUNITY COLLEGE AREA,30 & FORT STREET,OMAHA,NE,68111,16721,DOUGLAS,31055,USA,41.30588325,-95.95785182
ASHEVILLE-BUNCOMBE TECHNICAL COMMUNITY COLLEGE,340 VICTORIA RD,ASHEVILLE,NC,28801,8392,BUNCOMBE,37021,USA,35.57105463,-82.55583806
WILKES COMMUNITY COLLEGE,1328 SOUTH COLLEGIATE DR,WILKESBORO,NC,28697,3451,WILKES,37193,USA,36.13657218,-81.18446793
STARK STATE COLLEGE,6200 FRANK AVE NW,NORTH CANTON,OH,44720,12416,STARK,39151,USA,40.87059743,-81.43901655
CARL ALBERT STATE COLLEGE,1507 S MCKENNA,POTEAU,OK,74953,2306,LE FLORE,40079,USA,35.03820958,-94.63383048
EAST CENTRAL UNIVERSITY,1100 E. 14TH STREET,ADA,OK,74820,4224,PONTOTOC,40123,USA,34.77397107,-96.66451735
NORTHEASTERN STATE UNIVERSITY,600 N GRAND,TAHLEQUAH,OK,74464,8949,CHEROKEE,40021,USA,35.92049908,-94.96852781
NORTHERN OKLAHOMA COLLEGE,1220 E GRAND AVE,TONKAWA,OK,74653,4689,KAY,40071,USA,36.67839337,-97.29689258
NORTHWESTERN OKLAHOMA STATE UNIVERSITY,709 OKLAHOMA BLVD,ALVA,OK,73717,2433,WOODS,40151,USA,36.79611407,-98.66783961
OKLAHOMA PANHANDLE STATE UNIVERSITY,323 EAGLE AVE,GOODWELL,OK,73939,1312,TEXAS,40139,USA,36.59451811,-101.6384881
OKLAHOMA STATE UNIVERSITY-MAIN CAMPUS,107 WHITEHURST,STILLWATER,OK,74078,30867,PAYNE,40119,USA,36.12308498,-97.0697431
OKLAHOMA CITY COMMUNITY COLLEGE,7777 S MAY AVE,OKLAHOMA CITY,OK,73159,13168,OKLAHOMA,40109,USA,35.38769927,-97.57010921
OKLAHOMA STATE UNIVERSITY INSTITUTE OF TECHNOLOGY,1801 E 4TH ST,OKMULGEE,OK,74447,2876,OKMULGEE,40111,USA,35.6284166,-95.9403393
SEMINOLE STATE COLLEGE,2701 BOREN BLVD,SEMINOLE,OK,74868,1830,SEMINOLE,40133,USA,35.24898888,-96.7040023
HIGH PLAINS TECHNOLOGY CENTER,3921 34TH ST,WOODWARD,OK,73801,336,WOODWARD,40153,USA,36.40621018,-99.42730392
CLARION UNIVERSITY OF PENNSYLVANIA,840 WOOD STREET,CLARION,PA,16214,5929,CLARION,42031,USA,41.2090095,-79.3768875
PENNSYLVANIA STATE UNIVERSITY-PENN STATE FAYETTE- EBERLY,2201 UNIVERSITY DRIVE,LEMONT FURNACE,PA,15456,788,FAYETTE,42051,USA,39.94722311,-79.65775861
PENNSYLVANIA STATE UNIVERSITY-PENN STATE MONT ALTO,1 CAMPUS DRIVE,MONT ALTO,PA,17237,1097,FRANKLIN,42055,USA,39.84162869,-77.54412548
